Nom du Produit en Français,Type de production,Catégorie,Score unique EF3.1 (mPt/kg),Changement climatique (kg CO2 eq/kg),Appauvrissement de la couche d'ozone (kg CFC11 eq/kg),Rayonnements ionisants (kBq U-235 eq/kg),Formation photochimique d'ozone (kg NMVOC eq/kg),Particules (disease inc./kg),Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg),Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation eaux douces (kg P eq/kg),Eutrophisation marine (kg N eq/kg),Eutrophisation terreste (mol N eq/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Utilisation du sol (Pt/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (kg Sb eq/kg),Changement climatique - émissions biogéniques (kg CO2 eq/kg),Changement climatique - émissions fossiles (kg CO2 eq/kg),Changement climatique - émissions liées au changement d'affectation des sols (kg CO2 eq/kg)
"Truie de réforme, Label Rouge, moyenne nationale (50% courette, 50% plein air), à la ferme, France",Elevage,Agricultural\Animal production\Porcine\Transformation,1.9233635,14.104627,1.7486734e-07,3.177867,0.027164015,2.0006815e-06,1.5341136e-07,1.0336422e-08,0.28236043,0.0018512742,0.059948961,1.2283016,309.97406,761.47425,4.4470779,113.71053,6.0204935e-05,6.1303911,6.8965194,1.077717
"Truie de réforme, Label Rouge, système courette, à la ferme, France",Elevage,Agricultural\Animal production\Porcine\Transformation,1.8999083,14.466046,1.7134733e-07,2.9904336,0.026833588,1.9667409e-06,1.5033251e-07,1.0106306e-08,0.27766727,0.0018073739,0.057780177,1.2079406,306.47169,743.66642,4.2987462,109.26216,5.8671289e-05,6.3022648,7.0972686,1.0665121
"Truie de réforme, Label Rouge, système plein air, à la ferme, France",Elevage,Agricultural\Animal production\Porcine\Transformation,1.9468188,13.743209,1.7838735e-07,3.3653005,0.027494442,2.0346221e-06,1.5649022e-07,1.0566539e-08,0.28705359,0.0018951745,0.062117744,1.2486625,313.47643,779.28208,4.5954096,118.15891,6.1738581e-05,5.9585173,6.6957701,1.0889219
"Vache allaitante de réforme, conventionnel, vache allaitante système, moins de 1.2 UGB par ha, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.8672017,19.71983,5.1201759e-08,0.43557867,0.028047622,1.8752613e-06,3.2177188e-07,8.8011742e-09,0.27924327,0.00082096942,0.046493268,1.2396093,48.139992,2021.229,1.136114,29.250289,2.1725016e-05,16.685034,4.7660359,-1.7312397
"Vache allaitante de réforme, conventionnel, vache allaitante système, plus de 1.2 UGB par ha, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.5766811,16.731625,6.2655596e-08,0.38661475,0.023962701,1.6660646e-06,2.6292364e-07,5.7688128e-09,0.2483272,0.00047013994,0.057555876,1.1089031,49.966317,978.33254,1.3945513,29.410661,1.4456258e-05,12.304661,4.2708981,0.15606588
"Vache de réforme, conventionnel, système laitier de montagne, nourri à l'herbe, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.2973616,14.784834,4.0749322e-08,0.17929696,0.01978543,1.3011285e-06,1.9272766e-07,5.4847083e-09,0.19305577,0.00054009432,0.02901813,0.85608736,32.903751,1223.4397,0.90500776,21.072116,1.505176e-05,12.146968,3.6662582,-1.0283923
"Vache de réforme, conventionnel, système laitier de plaine, ensillage de maïs 10 à 30%, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.0615488000000002,11.562038,4.9190126e-08,0.17723563,0.015943654,1.101134e-06,1.5488388e-07,4.2437301e-09,0.16284175,0.00045229927,0.035326505,0.72084456,63.745235,582.06161,1.3995609,18.164678,1.6249846e-05,8.301634,2.8407972,0.41960703
"Vache de réforme, conventionnel, système laitier de plaine, ensillage de maïs 5 à 10%, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.3213322,13.057536,3.3473919e-08,0.17252707,0.018002161,1.5133043e-06,2.4912469e-07,5.4997616e-09,0.2236983,0.00038668233,0.041082801,0.99482469,30.883172,791.76264,0.59012775,17.470411,1.9134542e-05,9.9530039,2.9541006,0.15043171
"Vache de réforme, conventionnel, système laitier de plaine, ensillage de maïs plus de 30%, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,0.8313461,9.1565552,3.9502358e-08,0.14009659,0.013802766,8.2071978e-07,1.2454469e-07,3.5780064e-09,0.12235933,0.00037793222,0.030221558,0.54143934,50.267837,516.04399,0.96174936,15.221935,1.372953e-05,6.4349845,2.2916304,0.42994038
"Veau conventionnel, système d'engraissement, système laitier de plaine, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation\Production stages,1.1732237,12.680819,1.3485012e-07,0.67533481,0.021641779,1.0334582e-06,1.4077809e-07,6.5615123e-09,0.14913791,0.00086752346,0.04018931,0.64591372,172.23012,593.69291,1.6921914,53.884387,2.2834022e-05,7.0285307,4.4855804,1.1667077
