CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
20275;Poivron rouge, appertisé, égoutté;Oui
20277;Asperge blanche, bouillie/cuite à l'eau;
20278;Céleri-rave, purée;Oui
20284;Petits pois, purée;Oui
20285;Épinard, purée;Oui
20289;Tomate, pulpe et peau, rôtie/cuite au four;Oui
20290;Chou romanesco ou brocoli à pomme, cuit;
20291;Potimarron, pulpe, cuit à l'étouffée;
20292;Courge musquée, pulpe, cuite;
20298;Carotte, purée cuisinée à la crème, préemballée;
20299;Asperge verte, bouillie/cuite à l'eau;
20300;Aubergine, pulpe et peau, rôtie/cuite au four;
20301;Bette ou blette, côte et feuille, bouillie/cuite à l'eau;
20302;Brocoli, bouilli/cuit à l'eau, croquant;
20303;Brocoli, bouilli/cuit à l'eau, fondant;
20304;Brocoli, cuit à la vapeur;
20305;Carotte, bouillie/cuite à l'eau, croquante;
20306;Carotte, bouillie/cuite à l'eau, fondante;
20307;Carotte, cuite à la vapeur;
20308;Chou blanc, bouilli/cuit à l'eau;
20309;Chou de Bruxelles, bouilli/cuit à l'eau;
20310;Chou rouge, cuit à l'étouffée;
20311;Chou vert, bouilli/cuit à l'eau;
20312;Chou-fleur, cuit à la vapeur;
20313;Courgette, pulpe et peau, rôtie/cuite au four;
20314;Céleri branche, cuit à l'étouffée;
20315;Céleri rave, bouilli/cuit à l'eau;
20316;Endive, rôtie/cuite au four;
20317;Fenouil, cuit à l'étouffée;
20318;Haricot beurre, bouilli/cuit à l'eau;
20320;Haricot vert, bouilli/cuit à l'eau;
20321;Navet, bouilli/cuit à l'eau;
20322;Oignon blanc ou jaune, sauté/poêlé sans matière grasse;
20323;Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse;
20324;Oignon rouge, sauté/poêlé sans matière grasse;
20325;Panais, cuit à l'étouffée;
20326;Petits pois, bouillis/cuits à l'eau;
20327;Poireau, bouilli/cuit à l'eau;
20328;Poivron jaune, sauté/poêlé sans matière grasse;
20329;Poivron rouge, sauté/poêlé sans matière grasse;
20330;Poivron vert, sauté/poêlé sans matière grasse;
20331;Potimarron, pulpe, bouilli/cuit à l'eau;
20332;Potiron, rôti/cuit au four;
20333;Salsifis, bouilli/cuit à l'eau;
20334;Tomate, rôtie/cuite au four;
20335;Échalote, sautée/poêlée sans matière grasse;
20336;Épinard, bouilli/cuit à l'eau;
20497;Légumes pour couscous, cuits;Oui
20499;Légume cuit (aliment moyen);
20590;Crosne, cuit;
58103;Gombo, fruit, cuit;Oui
20092;Carotte, déshydratée;
20180;Oignon, séché;Oui
20189;Tomate, séchée;Oui
20202;Champignon noir, séché;
20211;Champignon, lentin comestible ou shiitaké, séché;
20256;Tomate, séchée, à l'huile;Oui
20800;Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique;
20801;Chips de giraumon (variété locale), pulpe, prélevé à la Martinique;
20802;Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique;
20803;Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique;
20804;Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique;
20805;Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique;
20806;Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique;
20807;Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique;
20808;Concombre, pulpe avec graines, cru, prélevé à la Martinique;
20809;Concombre, pulpe, cru, prélevé à la Martinique;
20810;Cresson, feuille, cru, prélevé à la Martinique;
20811;Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique;
20812;Farine de pulpe de patate douce, prélevée à la Martinique;
20813;Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique;
20814;Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique;
20815;Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique;
20816;Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique;
20817;Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique;
20818;Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique;
20819;Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique;
20820;Gombo, entier, appertisé, non égoutté, prélevé à la Martinique;
20821;Gombo, entier, cuit à la vapeur, prélevé à la Martinique;
20822;Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique;
20823;Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique;
20824;Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique;
20825;Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique;
20826;Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique;
20827;Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique;
20828;Massissi, pulpe, cru, prélevé à la Martinique;
20829;Papaye, pulpe, crue, prélevée à la Martinique;
20830;Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique;
20831;Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique;
20832;Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique;
20833;Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique;
20834;Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique;
20835;Tomate, entière, crue, prélevée à la Martinique;
20296;Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis);
20297;Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule);
4000;Tapioca ou Perles du Japon, cru;Oui
4002;Pomme de terre, sans peau, rôtie/cuite au four;Oui
4003;Pomme de terre, bouillie/cuite à l'eau;Oui
4004;Chips de pommes de terre nature ou aromatisées, standard;Oui
4007;Pomme de terre nouvelle, bouillie/cuite à l'eau;
4008;Pomme de terre, sans peau, crue;Oui
4011;Pomme de terre, appertisée, égouttée;
4013;Pomme de terre noisette, surgelée, crue;Oui
4014;Pomme de terre vapeur, sous vide;Oui
4015;Pomme de terre poêlée, avec matière grasse;Oui
4016;Pomme de terre, flocons déshydratés, au lait ou à la crème;Oui
4017;Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse;Oui
4018;Pomme de terre, purée, avec lait et beurre, non salée;Oui
4019;Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;Oui
4020;Pomme de terre dauphine, surgelée, crue;Oui
4021;Pomme de terre dauphine, surgelée, cuite;Oui
4022;Pomme de terre, flocons déshydratés, nature;Oui
4023;Pomme de terre nouvelle, crue;Oui
4025;Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites;
4026;Pomme de terre, rôtie/cuite au four;Oui
4027;Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite;Oui
4028;Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau;Oui
4029;Pomme de terre primeur, sans peau, bouillie/cuite à l'eau;Oui
4030;Frites de pommes de terre, surgelées, rôties/cuites au four;Oui
4032;Frites de pommes de terre, surgelées, cuites en friteuse;Oui
4034;Pomme de terre duchesse, surgelée, cuite;Oui
4035;Pomme de terre noisette, surgelée, cuite;Oui
4036;Pomme de terre sautée/poêlée à la graisse de canard;Oui
4037;Chips de pommes de terre nature ou aromatisées, à l'ancienne;Oui
4038;Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse;Oui
4039;Rostis ou Galette de pomme de terre;Oui
4042;Pomme de terre duchesse, surgelée, crue;Oui
4043;Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue;Oui
4044;Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four;Oui
4045;Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes;Oui
4046;Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse;Oui
4047;Pomme de terre, purée (aliment moyen);
4048;Pomme de terre, cuite (aliment moyen);
4101;Patate douce, crue;Oui
4102;Patate douce, cuite;Oui
4103;Patate douce, purée, cuisinée à la crème;Oui
20050;Topinambour, cuit;Oui
20196;Topinambour, cru;Oui
53101;Banane plantain, cuite;Oui
53200;Taro, tubercule, cru;Oui
53201;Taro, tubercule, cuit;Oui
53502;Igname, épluchée, crue;Oui
53503;Igname, épluchée, bouillie/cuite à l'eau;Oui
54031;Manioc, racine crue;Oui
54034;Manioc, racine cuite;Oui
54500;Fruit à pain, cru;Oui
20293;Haricot coco, bouilli/cuit à l'eau;
20500;Fève, bouillie/cuite à l'eau;Oui
20502;Haricot blanc, bouilli/cuit à l'eau;Oui
20503;Haricot rouge, bouilli/cuit à l'eau;Oui
20505;Lentille, bouillie/cuite à l'eau;Oui
20506;Pois cassé, bouilli/cuit à l'eau;Oui
20507;Pois chiche, bouilli/cuit à l'eau;Oui
20508;Haricot flageolet, appertisé, égouttés;Oui
20510;Lentille, cuisinée, appertisée, égouttée;Oui
20511;Haricot blanc, appertisé, égoutté;Oui
20513;Haricot flageolet, bouilli/cuit à l'eau;Oui
20524;Haricot rouge, appertisé, égoutté;Oui
20531;Haricot mungo, bouilli/cuit à l'eau;Oui
20532;Pois chiche, appertisé, égoutté;Oui
20540;Haricot flageolet, vert, bouilli/cuit à l'eau;Oui
20542;Fève, pelée, surgelée, cuite à l'eau;Oui
20543;Fève, surgelée, bouillie/cuite à l'eau;Oui
20587;Lentille verte, bouillie/cuite à l'eau;Oui
20588;Lentille blonde, bouillie/cuite à l'eau;Oui
20589;Lentille corail, bouillie/cuite à l'eau;Oui
20700;Légume sec, cuit (aliment moyen);
20517;Fève à écosser, fraîche;Oui
20521;Lentille, germée;Oui
20534;Lupin, graine crue;Oui
20536;Fève, fraîche, surgelée;Oui
20537;Haricot flageolet, surgelé;Oui
20541;Fève, pelée, surgelée, crue;Oui
20501;Haricot blanc, sec;Oui
20504;Lentille, sèche;Oui
20515;Pois cassé, sec;Oui
20516;Pois chiche, sec;Oui
20518;Fève, sèche;Oui
20525;Haricot rouge, sec;Oui
20530;Haricot mungo, sec;Oui
20535;Lentille corail, sèche;Oui
20539;Haricot flageolet, vert, sec;Oui
20585;Lentille verte, sèche;Oui
20586;Lentille blonde, sèche;Oui
13000;Abricot, dénoyauté, cru;Oui
13002;Ananas, pulpe, cru;Oui
13005;Banane, pulpe, crue;Oui
13007;Cassis, cru;Oui
13008;Cerise, dénoyautée, crue;Oui
13009;Citron, pulpe, cru;Oui
13010;Coing, cru;Oui
13012;Figue, crue;Oui
13014;Fraise, crue;Oui
13015;Framboise, crue;Oui
13016;Fruit de la passion ou maracudja, pulpe et pépins, cru;Oui
13018;Grenade, pulpe et pépins, crue;Oui
13019;Groseille, crue;Oui
13020;Groseille à maquereau, crue;Oui
13021;Kiwi, pulpe et graines, cru;Oui
13023;Litchi, pulpe, cru;Oui
13024;Clémentine ou Mandarine, pulpe, crue;Oui
13025;Mangue, pulpe, crue;Oui
13026;Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;Oui
13027;Mirabelle, crue;
13028;Myrtille, crue;Oui
13029;Mûre (de ronce), crue;Oui
13030;Nectarine ou brugnon, pulpe et peau, crue;Oui
13034;Orange, pulpe, crue;Oui
13035;Papaye, pulpe, crue;Oui
13036;Pastèque, pulpe, crue;Oui
13037;Poire, pulpe et peau, crue;Oui
13039;Pomme, pulpe et peau, crue;Oui
13040;Pomelo (dit Pamplemousse), pulpe, cru;Oui
13041;Prune Reine-Claude, crue;Oui
13043;Pêche, pulpe et peau, crue;Oui
13044;Raisin blanc, à gros grain (type Italia ou Dattier), cru;Oui
13045;Raisin noir, cru;Oui
13047;Rhubarbe, tige, crue;Oui
13050;Pomme, pulpe, crue;Oui
13054;Carambole, pulpe, crue;Oui
13056;Anone ou chérimole, pulpe, crue;
13061;Feijoa, pulpe, crue;
13063;Figue de Barbarie, pulpe et graines, crue;Oui
13066;Kaki, pulpe, cru;Oui
13067;Citron vert ou Lime, pulpe, cru;Oui
13071;Mûre noire (du mûrier), crue;Oui
13077;Ramboutan, pulpe, crue;
13080;Tamarin, fruit mûr, pulpe, cru;Oui
13083;Goyave, pulpe, crue;Oui
13085;Pomme Canada, pulpe, crue;Oui
13086;Pomme Golden, pulpe, crue;
13100;Prune, crue;Oui
13101;Raisin Chasselas, cru;
13107;Poire, pulpe, crue;Oui
13110;Griotte, crue;Oui
13112;Raisin, cru;Oui
13113;Canneberge ou cranberry, crue;Oui
13121;Pomme Granny Smith, pulpe, crue;
13122;Pomme Granny Smith, pulpe et peau, crue;
13125;Citron, zeste, cru;Oui
13126;Sureau, baie, crue;Oui
13132;Myrtille, surgelée, crue;Oui
13134;Salade de fruits, crue;Oui
13136;Framboise, surgelée, crue;Oui
13148;Nectarine ou brugnon, jaune, pulpe et peau, crue;
13149;Nectarine ou brugnon, blanche, pulpe et peau, crue;
13150;Mûre (de ronce), surgelée, crue;Oui
13179;Pomelo (dit Pamplemousse) jaune, pulpe, cru;Oui
13180;Pomelo (dit Pamplemousse) rose, pulpe, cru;Oui
13188;Poire Conférence, pulpe, crue;
13189;Poire Williams, pulpe, crue;
13190;Pomme Chantecler, pulpe, crue;
13191;Pomme Gala, pulpe, crue;
13192;Pomme Pink lady, pulpe, crue;
13193;Pêche blanche, pulpe et peau, crue;
13194;Pêche blanche, pulpe, crue;
13195;Pêche jaune, pulpe, crue;
13529;Dourian, pulpe, cru;
13549;Kumquat, sans pépin, cru;Oui
13552;Longan, pulpe, cru;
13614;Pamplemousse chinois, pulpe, cru;Oui
13620;Pomme Golden, pulpe et peau, crue;Oui
13621;Raisin noir Muscat, cru;
13742;Melon miel ou melon honeydew, pulpe, cru;Oui
13997;Fruits rouges, crus (framboises, fraises, groseilles, cassis);Oui
13999;Fruit cru (aliment moyen);
13038;Compote de pomme;Oui
13048;Rhubarbe, tige, cuite, sucrée;Oui
13108;Compote, tout type de fruits;Oui
13109;Compote, tout type de fruits, allégée en sucres;Oui
13128;Chayote ou christophine ou chouchou, crue;
13129;Compote, tout type de fruits, allégée en sucres, rayon frais;Oui
13151;Compote de pomme, allégée en sucres;
13152;Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);Oui
13153;"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""";Oui
13154;Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient);
13175;Pomme, pulpe, rôtie/cuite au four;Oui
13176;Pomme, pulpe, bouillie/cuite à l'eau;Oui
13185;Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen);
13187;"Purée de pommes, type ""compote sans sucres ajoutés""";
13998;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);
13704;Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);
13705;Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);
13706;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;Oui
13707;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;Oui
13708;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;Oui
13709;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;Oui
13712;Abricot au sirop léger, appertisé, égoutté;Oui
13713;Abricot au sirop léger, appertisé, non égoutté;Oui
13714;Abricot au sirop, appertisé, égoutté;Oui
13715;Abricot au sirop, appertisé, non égoutté;Oui
13716;Ananas au jus d'ananas, égoutté, appertisé;Oui
13717;Ananas au jus d'ananas, appertisé, non égoutté;Oui
13718;Ananas au sirop léger, appertisé, égoutté;Oui
13719;Ananas au sirop léger, appertisé, non égoutté;Oui
13730;Pêche au sirop léger, appertisée, égouttée;Oui
13731;Pêche au sirop léger, appertisée, non égouttée;Oui
13734;Poire au sirop léger, appertisée, égouttée;
13735;Poire au sirop léger, appertisée, non égouttée;Oui
13001;Abricot, dénoyauté, sec;Oui
13011;Datte, pulpe et peau, sèche;Oui
13013;Figue, sèche;Oui
13042;Pruneau, sec;Oui
13046;Raisin, sec;Oui
13051;Mélange apéritif de fruits exotiques, sec;
13089;Banane, pulpe, sèche;Oui
13111;Pomme, sèche;Oui
13118;Pêche, sèche;Oui
13178;Canneberge ou cranberry, séchée, sucrée;
13623;Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);
13400;Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;
13401;Abricot pays, pulpe, cru, prélevé à la Martinique;
13402;Ananas, pulpe, cru , prélevé à la Martinique;
13403;Caïmite, pulpe, cru, prélevé à la Martinique;
13404;Cerise acérola, pulpe, crue, prélevée à la Martinique;
13405;Chadèque, pulpe, cru, prélevé à la Martinique;
13406;Chips d'abricot pays, pulpe, prélevé à la Martinique;
13407;Goyave, pulpe, purée, prélevée à la Martinique;
13408;Jus de carambole, prélevé à la Martinique, jus filtré;
13409;Jus de carambole, prélevée à la Martinique, jus non filtré;
13410;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;
13411;Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;
13412;Jus de corossol, prélevé à la Martinique;
13413;Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;
13414;Jus de grenade, prélevée à la Martinique;
13415;Jus de lime, pur jus, prélevé à la Martinique;
13416;Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;
13417;Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;
13418;Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;
13419;Jus de moubin, pur jus, prélevé à la Martinique;
13420;Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;
13421;"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";
13422;"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";
13423;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";
13424;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";
13425;Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;
13426;Mango bassignac, pulpe, cru, prélevé à la Martinique;
13427;Mango moussache, pulpe, cru, prélevé à la Martinique;
13428;Mangue julie, pulpe, crue, prélevée à la Martinique;
13429;Mangue verte, pulpe, crue, prélevée à la Martinique;
13430;Melon, pulpe, cru, prélevé à la Martinique;
13431;Orange (variété locale), pulpe, prélevée à la Martinique;
13432;Orange amère, pulpe, crue, prélevée à la Martinique;
13433;Pastèque, pulpe, crue, prélevée à la Martinique;
13434;Pomme cajou, pulpe, crue, prélevée à la Martinique;
13435;Pomme cannelle,  pulpe, crue, prélevée à la Martinique;
13436;Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;
13437;Pomme liane, pulpe, crue, prélevée à la Martinique;
13438;Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;
13439;Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;
13440;Jacques, pulpe, cru, prélevé à la Martinique;
13200;Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.);
13201;Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen);
13202;Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.);
9570;Farine de châtaigne;Oui
15000;Amande (avec peau);Oui
15001;Cacahuète ou Arachide;Oui
15002;Cacahuète, grillée, salée;Oui
15004;Noisette;Oui
15005;Noix, séchée, cerneaux;Oui
15006;Noix de coco, amande mûre, fraîche;Oui
15007;Noix de coco, amande, sèche;Oui
15008;Noix du Brésil;Oui
15009;Pistache, grillée, salée;Oui
15010;Sésame, graine;Oui
15011;Tournesol, graine;Oui
15013;Crème de marrons;Oui
15014;Noix de coco, amande immature, fraîche;Oui
15016;Crème de marrons vanillée, appertisée;Oui
15018;Mélange apéritif de graines salées et raisins secs;Oui
15019;Noix de cajou, grillée, salée;Oui
15020;Châtaigne, bouillie/cuite à l'eau;Oui
15021;Châtaigne, grillée;Oui
15023;Noix, fraîche;Oui
15024;Châtaigne, crue;Oui
15025;Pignon de pin;Oui
15026;Noix de pécan;Oui
15027;Noix de macadamia;Oui
15028;Cucurbitacées, graine;Oui
15029;Luzerne, graine germée;Oui
15032;Luzerne, graine;Oui
15033;Noisette grillée;Oui
15034;Lin, graine;Oui
15035;Sésame, graine décortiquée;Oui
15037;Cacahuète, grillée à sec, salée;Oui
15038;Sésame, grillé, graine décortiquée;Oui
15039;Châtaigne ou Marron, appertisé;Oui
15041;Amande, mondée, émondée ou blanchie;Oui
15042;Amande, grillée, salée;Oui
15043;Noix de macadamia, grillée, salée;Oui
15044;Pistache, grillée;Oui
15045;Tournesol, graine, grillé, salé;Oui
15046;Noix de pécan, salées;Oui
15047;Chia, graine, séchée;Oui
15048;Mélange apéritif de graines (non salées) et fruits séchés;Oui
15049;Mélange apéritif de graines (non salées) et raisins secs;Oui
15050;Noisette grillée, salée;Oui
15052;Lin, brun, graine;Oui
15053;Cacahuète, grillée, sans sel ajouté;
15054;Noix de cajou, grillée, non salée;
15055;Noix de cajou, grillée à sec, non salée;
15201;Pâte d'amande, préemballée;Oui
15202;Beurre de cacahuète ou Pâte d'arachide;Oui
15203;Tahin ou Purée de sésame;Oui
20581;Arachide, bouillie/cuite à l'eau, salée;Oui
20901;Soja, graine entière;Oui
9081;Blé dur précuit, grains entiers, cuit, non salé;Oui
9085;Nouilles asiatiques cuites, aromatisées;Oui
9086;Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées;Oui
9103;Riz complet, cuit, non salé;Oui
9104;Riz blanc, cuit, non salé;Oui
9105;Riz blanc étuvé, cuit, non salé;Oui
9110;Riz rouge, cuit, non salé;Oui
9111;Riz sauvage, cuit, non salé;Oui
9124;Riz thaï, cuit, non salé;
9125;Riz basmati, cuit, non salé;
9313;Flocons d'avoine, bouillis/cuits à l'eau;Oui
9322;Orge perlée, bouilli/cuite à l'eau, non salée;Oui
9331;Mil, cuit, non salé;Oui
9341;Quinoa, bouilli/cuit à l'eau, non salé;Oui
9615;Polenta ou semoule de maïs, cuite, non salée;Oui
9683;Graine de couscous (semoule de blé dur précuite), cuite, non salée;Oui
9691;Boulgour de blé, cuit, non salé;Oui
9811;Pâtes sèches standard, cuites, non salées;Oui
9816;Pâtes fraîches, aux oeufs, cuites, non salées;Oui
9822;Pâtes sèches, aux oeufs, cuites, non salées;Oui
9824;Pâtes sèches, sans gluten, cuites, non salées;Oui
9871;Pâtes sèches, au blé complet, cuites, non salées;Oui
9875;Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées;
9876;Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées;
9901;Vermicelle de riz, cuite, non salée;Oui
9903;Vermicelle de soja, cuite, non salée;
25479;Gnocchi à la semoule, cuit;Oui
25510;Gnocchi à la pomme de terre, cuit;Oui
25579;Gnocchi, cuit (aliment moyen);
51511;Frik (blé dur immature concassé), cuit, non salé;Oui
9001;Épeautre, cru;Oui
9003;Blé de Khorasan, cru;Oui
9010;Blé tendre entier ou froment, cru;Oui
9011;Blé germé, cru;
9060;Blé dur entier, cru;Oui
9080;Blé dur précuit, entier, cru;Oui
9100;Riz blanc, cru;Oui
9101;Riz blanc étuvé, cru;Oui
9102;Riz complet, cru;Oui
9108;Riz sauvage, cru;Oui
9109;Riz rouge, cru;Oui
9119;Riz thaï ou basmati, cru;Oui
9120;Riz thaï ou basmati, cuit, non salé;
9121;Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;Oui
9200;Maïs entier, cru;Oui
9310;Avoine, crue;Oui
9320;Orge entière, crue;Oui
9321;Orge perlée, crue;Oui
9330;Mil entier, cru;Oui
9340;Quinoa, cru;Oui
9345;Amarante, crue;Oui
9360;Sorgho entier, cru;Oui
9380;Sarrasin entier, cru;Oui
9390;Seigle entier, cru;Oui
9610;Semoule de blé dur, crue;Oui
9611;Semoule de blé dur, cuite, non salée;
9612;Mélange de céréales et légumineuses, cru;Oui
9614;Polenta ou semoule de maïs, précuite, sèche;Oui
9681;Graine de couscous (semoule de blé dur précuite), crue;Oui
9690;Boulgour de blé, cru;Oui
9810;Pâtes sèches standard, crues;Oui
9815;Pâtes fraîches, aux oeufs, crues;Oui
9821;Pâtes sèches, aux oeufs, crues;Oui
9863;Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature;Oui
9870;Pâtes sèches, au blé complet, crues;Oui
9874;Pâtes sèches, sans gluten, crues;Oui
9900;Vermicelle de riz, sèche;Oui
9902;Vermicelle de soja, sèche;
26264;Gnocchi à la pomme de terre, cru;Oui
26265;Gnocchi à la semoule, cru;Oui
51510;Frik (blé dur immature concassé), cru;Oui
7000;Pain (aliment moyen);
7001;Pain, baguette, courante;Oui
7002;Pain, baguette ou boule, au levain;Oui
7007;Pain, baguette, de tradition française;Oui
7010;Pain, baguette ou boule, bis (à la farine T80 ou T110) ;Oui
7012;Pain courant, 400g ou boule;Oui
7025;Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110);Oui
7100;Pain, baguette ou boule, de campagne;Oui
7110;Pain complet ou intégral (à la farine T150);Oui
7111;Pain de mie, complet;Oui
7112;Pain de mie, au son;Oui
7113;Pain de mie, multicéréale;Oui
7115;Pain au son;Oui
7125;Pain de seigle, et froment;Oui
7130;Pain, sans gluten;Oui
7160;Pain, baguette, sans sel;Oui
7170;Pain panini;Oui
7180;Pain pita;Oui
7200;Pain de mie, courant;Oui
7201;Pain de mie, sans croûte, préemballé;Oui
7210;Pain de mie brioché, préemballé;Oui
7255;Pain, baguette ou boule, aux céréales et graines, artisanal;Oui
7256;Muffin anglais, complet, petit pain spécial, préemballé;Oui
7257;Muffin anglais, petit pain spécial, préemballé;Oui
7258;Bagel;Oui
7259;Pain pour hamburger ou hot dog (bun), préemballé;Oui
7260;Pain blanc maison (avec farine pour machine à pain);Oui
7261;Pain de campagne maison (avec farine pour machine à pain);Oui
7262;Pain pour hamburger ou hot dog (bun), complet, préemballé;Oui
7263;Bretzel, pain frais;
7813;Tortilla souple (à garnir), à base de maïs;Oui
7815;Tortilla souple (à garnir), à base de blé;Oui
23805;Blini;Oui
7004;Pain grillé, domestique;Oui
7300;Biscotte classique;Oui
7301;Biscotte briochée;Oui
7310;Biscotte sans adjonction de sel;Oui
7330;Biscotte multicéréale;Oui
7340;Biscotte complète ou riche en fibres;Oui
7351;Crackers de table au froment;
7352;Galette de riz soufflé complet;Oui
7353;Galette multicéréales soufflée;Oui
7354;Galette de maïs soufflé;
7400;Pain grillé, tranches, au froment;Oui
7403;Pain grillé brioché, tranché, préemballé;Oui
7407;Pain grillé suédois au froment;Oui
7409;Pain grillé suédois aux graines de lin;Oui
7410;Tartine craquante, extrudée et grillée;Oui
7420;Pain grillé suédois au blé complet;Oui
7421;Pain grillé suédois aux fruits;Oui
7425;Pain grillé, tranches, multicéréale;Oui
7431;Croûton à tartiner;
7432;Croûtons nature, préemballés;Oui
7500;Chapelure;
7525;Gressin;Oui
38500;Croûton à l'ail aux fines herbes ou aux oignons, préemballé;Oui
9230;Pop-corn ou Maïs éclaté, à l'huile, salé;Oui
9231;Pop-corn ou Maïs éclaté, à l'air, non salé;Oui
9232;Pop-corn ou Maïs éclaté, au caramel;Oui
38104;Chips de crevette;Oui
38105;Chips de maïs ou tortilla chips;Oui
38106;Biscuit apéritif soufflé, à base de pomme de terre;Oui
38107;Biscuit apéritif, mini bretzel ou sticks;Oui
