CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
25086;Poisson blanc à la bordelaise, préemballé;Oui
25128;Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé;Oui
25140;Poisson blanc à la florentine (sauce aux épinards), préemballé;Oui
25141;Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé;Oui
25142;Poisson blanc à la sauce moutarde, préemballé;Oui
25143;Poisson blanc à la parisienne (sauce aux champignons), préemballé;Oui
25145;Poisson blanc à l'estragon, préemballé;Oui
25146;Poisson blanc sauce oseille, préemballé;Oui
25210;Saumon farci, préemballé;
25539;Brochette de poisson;Oui
25540;Brochette de crevettes;
26054;Poisson en sauce, surgelé;Oui
26140;Poisson cuit (aliment moyen);
26249;Poisson blanc, cuit (aliment moyen);
26250;Poisson blanc, de mer, cuit (aliment moyen);
25031;Paëlla;Oui
25107;Couscous au poisson;Oui
25154;Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;Oui
25456;Sushi ou Maki aux produits de la mer;Oui
8296;Terrine ou mousse de légumes;Oui
8297;Flan de légumes;Oui
20194;Haricots blancs à la sauce tomate, appertisés;Oui
20240;Piperade basquaise, préemballée;Oui
20262;Poêlée de légumes assaisonnés sans champignon, surgelée, crue;Oui
20273;Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;Oui
20274;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;Oui
20498;"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";Oui
25018;Ratatouille cuisinée, préemballée;Oui
25026;Épinards à la crème, préemballés;Oui
25052;Gratin d'aubergine, préemballé;Oui
25056;Gratin dauphinois;Oui
25073;Endive au jambon;Oui
25101;Gratin de chou-fleur, préemballé;Oui
25162;Gratin de légumes;Oui
25196;Riste d'aubergines (aubergines, tomates, oignons), préemballée;Oui
25199;Palet ou galette de légumes, préfrit, surgelé;Oui
25208;Palet ou galette de légumes, préfrit, surgelé, cuit;Oui
25220;Choucroute, sans garniture, égouttée, cuite;Oui
25524;Tomate à la provençale, fait maison;Oui
25556;Beignet de légumes;Oui
25571;Falafel ou Boulette de pois-chiche et/ou fève, frite;
25588;Gratin de légumes en sauce blanche type béchamel, cuit;Oui
25590;Falafel ou Boulette de pois-chiche et/ou fève, préemballé;Oui
9082;Blé dur précuit cuisiné, en sachet micro-ondable;Oui
9083;Blé dur précuit, grains entiers, cuisiné, à poêler;Oui
25019;Ravioli à la viande, sauce tomate, appertisé;Oui
25081;Lasagnes ou cannelloni à la viande (bolognaise);Oui
25085;Pâtes à la bolognaise (spaghetti, tagliatelles…);Oui
25088;Riz cantonais;Oui
25110;Ravioli chinois à la vapeur à la crevette, cuit;Oui
25122;Gratin de pâtes;Oui
25131;Lasagnes ou cannellonis aux légumes, préemballées, cuits;Oui
25135;Pâtes à la carbonara (spaghetti, tagliatelles…);Oui
25139;Lasagnes ou cannellonis au poisson, préemballées;Oui
25149;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites;Oui
25150;Couscous de légumes, préemballé;Oui
25155;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;Oui
25157;Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues;Oui
25158;Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites;Oui
25181;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;Oui
25182;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;Oui
25183;Nouilles sautées/poêlées aux crevettes;Oui
25184;Riz blanc, avec poulet, préemballé, cuit;Oui
25185;Riz blanc, avec légumes et viande, préemballé, cuit;Oui
25187;Risotto, aux légumes, préemballé;Oui
25188;Risotto, aux fruits de mer, préemballé;Oui
25189;Risotto, aux fromages, préemballé;Oui
25192;Raviolis aux légumes, sauce tomate, appertisés;Oui
25193;Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;Oui
25198;Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;Oui
25203;Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;Oui
25216;Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);
