Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
lait et produits laitiers;produits laitiers frais et assimilés; 19673;19673;Crème dessert, allégée en MG, rayon frais;Custard dessert, reduced fat, refrigerated;Custard dessert, vanilla, canned;Custard dessert, vanilla, canned, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
lait et produits laitiers;produits laitiers frais et assimilés; 39214;39214;Crème dessert à la vanille, appertisée;Custard dessert, vanilla, canned;Custard dessert, vanilla, canned;Custard dessert, vanilla, canned, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
lait et produits laitiers;produits laitiers frais et assimilés; 39229;39229;Crème dessert à la vanille, rayon frais;Custard dessert, vanilla, refrigerated;Custard dessert, vanilla, refrigerated;Custard dessert, vanilla, refrigerated, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
lait et produits laitiers;produits laitiers frais et assimilés; 19681;19681;Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais;Custard topped with whipped cream (chocolate, coffee, caramel or vanilla custard), refrigerated;Custard topped with whipped cream (chocolate, coffee, caramel or vanilla custard), refrigerated;Custard topped with whipped cream (chocolate, coffee, caramel or vanilla custard), refrigerated, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;laits et boissons infantiles; 13170;13170;Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois;Dairy cereal-based beverage for baby's breakfast from 12 months;Dairy cereal-based beverages for baby's breakfast;Dairy cereal-based beverages for baby's breakfast, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 13163;13163;Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois;Dairy cereal-based beverage for baby's breakfast from 4/6 months;Dairy cereal-based beverages for baby's breakfast;Dairy cereal-based beverages for baby's breakfast, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 13169;13169;Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois;Dairy cereal-based beverage for baby's breakfast from 8/9 months;Dairy cereal-based beverages for baby's breakfast;Dairy cereal-based beverages for baby's breakfast, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 13173;13173;Boisson infantile céréales lactées pour le petit déjeuner;Dairy cereal-based beverage for baby's breakfast;Dairy cereal-based beverages for baby's breakfast;Dairy cereal-based beverages for baby's breakfast, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 13162;13162;Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois;Dairy cereal-based beverage with fruits for baby's snack from 4/6 months;Dairy cereal-based beverages for baby's breakfast;Dairy cereal-based beverages for baby's breakfast, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 13161;13161;Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois;Dairy cereal-based beverage with vegetables for baby's dinner from 4/6 months;Dairy cereal-based beverages for baby's breakfast;Dairy cereal-based beverages for baby's breakfast, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
